career_id,career_path,category,description,preferred_interests,required_skills,minimum_grade,recommended_courses,certifications,tools,entry_roles,three_year_scenario,five_year_scenario,working_style
C001,Data Analyst,Big Data & Data Science,"Transforms business data into insights using statistics, dashboards and reporting tools.",data analysis; business problem solving; statistics; dashboards,Python; SQL; Excel; data cleaning; statistics; Tableau; communication,55,Python for Data Analysis; SQL for Analytics; Tableau Dashboard Design; Statistics for Decision Making,Microsoft PL-300; Google Data Analytics Certificate,Python; Pandas; SQL; Tableau; Power BI,Junior Data Analyst; Reporting Analyst; Business Data Assistant,"Build dashboards, automate weekly reporting and support commercial decisions as a mid-level analyst.","Progress into BI Analyst, Analytics Consultant or Data Product Analyst with ownership of insight strategy.",analytical; structured; business-facing
C002,Business Intelligence Developer,Big Data & Data Science,"Designs dashboards, data models and KPI systems for managers and decision-makers.",dashboards; business intelligence; performance tracking; data storytelling,SQL; data modelling; Power BI; Tableau; DAX; ETL; stakeholder communication,55,SQL for Analytics; Power BI and DAX; Data Warehousing Fundamentals; Data Storytelling,Microsoft PL-300; Tableau Certified Data Analyst,Power BI; Tableau; SQL Server; Excel; Python,BI Assistant; Junior BI Developer; Dashboard Developer,Create automated KPI dashboards and support management reporting across departments.,"Move into Senior BI Developer, Analytics Lead or Data Visualisation Consultant roles.",visual; business-facing; structured
C003,Machine Learning Engineer,Artificial Intelligence Technology,Builds predictive models and deploys machine learning systems for real-world products.,machine learning; prediction; algorithms; AI applications,Python; machine learning; statistics; scikit-learn; model evaluation; APIs; Git,60,Machine Learning Fundamentals; Python for Data Analysis; Model Evaluation and Explainability; FastAPI for ML Deployment,TensorFlow Developer Certificate; AWS Machine Learning Specialty,Python; scikit-learn; TensorFlow; FastAPI; Git; Docker,Junior ML Engineer; ML Intern; AI Developer Assistant,"Deploy supervised models, evaluate performance and maintain ML services in production.","Progress into Senior ML Engineer, MLOps Engineer or Applied AI Specialist.",technical; experimental; problem-solving
C004,AI Agent Developer,Artificial Intelligence Technology,"Designs LLM-powered workflows, tools and autonomous agents for task automation.",AI agents; automation; LLMs; prompt engineering; workflow design,Python; LLM APIs; prompt engineering; Streamlit; FastAPI; vector databases; evaluation,60,LLM Prompt Engineering; AI Agents with Python; API Integration; Responsible AI Design,Azure AI Engineer Associate; LangChain Developer pathway,Python; Streamlit; LangChain; Groq API; OpenAI-compatible APIs; FAISS,AI Automation Assistant; Junior AI Developer; Prompt Engineer,"Build internal AI tools that automate research, summarisation and decision-support workflows.",Lead multi-agent product development or specialise in autonomous workflow architecture.,creative; technical; experimental
C005,Cybersecurity Analyst,Cyber Security Technology,"Monitors systems, investigates alerts and protects organisations from security threats.",security; networks; ethical hacking; investigation; risk,networking; Linux; security fundamentals; SIEM; incident response; Python; documentation,55,Network Security Fundamentals; Ethical Hacking Basics; SOC Analyst Training; Python for Cybersecurity,CompTIA Security+; Cisco CyberOps Associate,Splunk; Wireshark; Linux; Nmap; Python; SIEM platforms,SOC Analyst Level 1; Cybersecurity Assistant; Security Operations Trainee,"Investigate alerts, prepare incident reports and tune detection rules in a SOC environment.","Progress into Cybersecurity Consultant, Threat Hunter or Incident Response Analyst.",investigative; detail-oriented; risk-aware
C006,Threat Intelligence Analyst,Cyber Security Technology,Collects and interprets threat information to support proactive cyber defence.,cyber threats; research; geopolitics; malware trends; intelligence,cybersecurity; OSINT; report writing; MITRE ATT&CK; malware basics; Python; critical thinking,60,Threat Intelligence Foundations; OSINT Investigation; Malware Analysis Basics; Cyber Report Writing,GIAC Cyber Threat Intelligence; CompTIA Security+,MITRE ATT&CK; MISP; VirusTotal; Maltego; Python,Threat Intelligence Assistant; Junior CTI Analyst; SOC Research Analyst,"Produce threat briefings, map tactics and support risk-based security decisions.","Move into Senior CTI Analyst, Threat Researcher or Cyber Risk Advisor roles.",research-focused; analytical; communication-heavy
C007,Cloud Engineer,Computing Technology,"Builds and maintains cloud infrastructure, deployment environments and scalable services.",cloud platforms; infrastructure; deployment; automation; systems,Linux; networking; AWS or Azure; Docker; scripting; CI/CD; monitoring,55,Cloud Computing Fundamentals; Docker and Containers; Linux Administration; CI/CD Pipelines,AWS Cloud Practitioner; Azure Administrator Associate,AWS; Azure; Docker; GitHub Actions; Linux; Terraform,Cloud Support Associate; Junior Cloud Engineer; Infrastructure Assistant,"Deploy cloud services, maintain infrastructure and automate operational tasks.","Progress into Cloud Architect, DevOps Engineer or Platform Engineer roles.",technical; operational; automation-focused
C008,DevOps Engineer,Software Development Use Case,"Automates software delivery, deployment, testing and infrastructure workflows.",automation; deployment; coding; cloud; software reliability,Git; Linux; CI/CD; Docker; cloud computing; scripting; monitoring; problem solving,60,CI/CD Pipelines; Docker and Containers; Cloud Computing Fundamentals; Infrastructure as Code,AWS DevOps Engineer; Azure DevOps Engineer Expert,GitHub Actions; Docker; Kubernetes; Terraform; Linux; Jenkins,DevOps Assistant; Release Engineer Trainee; Platform Support Engineer,"Maintain deployment pipelines, automate releases and improve system reliability.","Move into Senior DevOps Engineer, Site Reliability Engineer or Platform Lead roles.",automation-focused; collaborative; technical
C009,Software Developer,Computing Technology,"Designs, codes, tests and maintains software applications for users or organisations.",programming; application development; problem solving; systems design,Python or Java; algorithms; databases; Git; testing; APIs; debugging,55,Software Engineering Fundamentals; Python Programming; Database Design; API Development,Oracle Java Associate; Python Institute PCEP,VS Code; PyCharm; Git; SQL; FastAPI; Docker,Junior Software Developer; Backend Developer Trainee; Application Developer,"Deliver application features, write tests and contribute to code reviews in a software team.","Progress into Full Stack Developer, Senior Developer or Software Architect pathway.",logical; creative; collaborative
C010,Full Stack Web Developer,Software Development Use Case,"Builds complete web applications including frontend interfaces, backend APIs and databases.",web apps; user interfaces; backend APIs; databases; product building,HTML; CSS; JavaScript; Python; SQL; REST APIs; Git; UI basics,50,Frontend Development; Backend API Development; Database Design; Web Application Security,Meta Front-End Developer; IBM Full Stack Developer Certificate,React; Streamlit; FastAPI; Node.js; PostgreSQL; Git,Junior Web Developer; Frontend Assistant; Full Stack Intern,"Build production-ready web features and integrate APIs, databases and authentication.","Become Full Stack Engineer, Product Engineer or Technical Lead for web applications.",creative; practical; user-focused
